Frequency (Hz)	Level (dB)
86.132812	-19.627996
172.265625	-25.838940
258.398438	-33.283211
344.531250	-39.805931
430.664062	-45.388535
516.796875	-46.069252
602.929688	-46.825012
689.062500	-49.175751
775.195312	-53.118561
861.328125	-55.835094
947.460938	-55.649357
1033.593750	-55.810287
1119.726562	-57.675934
1205.859375	-61.391602
1291.992188	-64.513412
1378.125000	-64.415352
1464.257812	-63.473557
1550.390625	-65.094154
1636.523438	-68.778412
1722.656250	-71.538521
1808.789062	-68.587524
1894.921875	-68.377907
1981.054688	-72.409882
2067.187500	-78.102539
2153.320312	-72.335335
2239.453125	-69.934525
2325.585938	-71.633156
2411.718750	-76.262619
2497.851562	-77.698105
2583.984375	-74.308128
2670.117188	-73.443832
2756.250000	-73.949059
2842.382812	-75.373703
2928.515625	-78.724892
3014.648438	-80.679436
3100.781250	-77.494041
3186.914062	-75.631874
3273.046875	-77.150795
3359.179688	-82.567329
3445.312500	-85.398308
3531.445312	-80.453720
3617.578125	-79.434044
3703.710938	-82.321404
3789.843750	-86.672279
3875.976562	-85.220108
3962.109375	-82.548218
4048.242188	-83.597504
4134.375000	-85.610138
4220.507812	-85.612389
4306.640625	-83.952202
4392.773438	-83.385361
4478.906250	-83.609489
4565.039062	-84.112160
4651.171875	-85.635216
4737.304688	-86.713387
4823.437500	-85.485428
4909.570312	-84.564819
4995.703125	-86.058868
5081.835938	-90.692032
5167.968750	-93.013428
5254.101562	-90.847122
5340.234375	-91.014008
5426.367188	-94.007408
