Frequency (Hz)	Level (dB)
86.132812	-28.037621
172.265625	-34.385933
258.398438	-41.186443
344.531250	-48.830151
430.664062	-56.528011
516.796875	-61.882042
602.929688	-65.608391
689.062500	-70.224167
775.195312	-74.256363
861.328125	-78.231987
947.460938	-81.804375
1033.593750	-82.520203
1119.726562	-83.749672
1205.859375	-85.001884
1291.992188	-86.377502
1378.125000	-87.629471
1464.257812	-89.751053
1550.390625	-91.500755
1636.523438	-91.288948
1722.656250	-91.280991
1808.789062	-92.647377
1894.921875	-94.105736
1981.054688	-94.166306
2067.187500	-94.451057
2153.320312	-94.438217
2239.453125	-95.356010
2325.585938	-97.004066
2411.718750	-96.577736
2497.851562	-95.739273
2583.984375	-95.976372
2670.117188	-97.734520
2756.250000	-98.500450
2842.382812	-97.245064
2928.515625	-97.312065
3014.648438	-98.290199
3100.781250	-99.144760
3186.914062	-98.770256
3273.046875	-98.409348
3359.179688	-98.984627
3445.312500	-99.813683
3531.445312	-99.711525
3617.578125	-99.315163
3703.710938	-99.401588
3789.843750	-99.436958
3875.976562	-99.807281
3962.109375	-100.140800
4048.242188	-100.291260
4134.375000	-100.490791
4220.507812	-100.597931
4306.640625	-100.587982
4392.773438	-100.848618
4478.906250	-100.942322
4565.039062	-101.088921
4651.171875	-101.272255
4737.304688	-101.758331
4823.437500	-102.128693
4909.570312	-102.105797
4995.703125	-101.893646
5081.835938	-102.178329
5167.968750	-102.851265
5254.101562	-103.263405
5340.234375	-103.290894
5426.367188	-103.259018
