Frequency (Hz)	Level (dB)
86.132812	-29.308620
172.265625	-33.311455
258.398438	-38.453259
344.531250	-44.708160
430.664062	-49.279510
516.796875	-54.297253
602.929688	-60.093430
689.062500	-65.086395
775.195312	-68.284485
861.328125	-72.780716
947.460938	-71.418159
1033.593750	-71.973915
1119.726562	-72.142868
1205.859375	-71.776947
1291.992188	-71.945274
1378.125000	-72.415398
1464.257812	-73.269753
1550.390625	-73.475449
1636.523438	-74.320015
1722.656250	-75.982712
1808.789062	-77.449608
1894.921875	-79.867714
1981.054688	-82.488220
2067.187500	-85.149879
2153.320312	-87.065979
2239.453125	-88.184906
2325.585938	-88.963593
2411.718750	-88.011215
2497.851562	-86.827751
2583.984375	-86.249931
2670.117188	-85.546600
2756.250000	-84.873917
2842.382812	-84.632309
2928.515625	-84.835350
3014.648438	-85.343384
3100.781250	-85.973534
3186.914062	-86.933403
3273.046875	-88.077614
3359.179688	-89.371590
3445.312500	-91.670074
3531.445312	-93.691833
3617.578125	-94.400749
3703.710938	-95.501770
3789.843750	-96.340424
3875.976562	-95.711594
3962.109375	-94.252357
4048.242188	-93.205170
4134.375000	-92.400917
4220.507812	-92.113266
4306.640625	-91.980339
4392.773438	-92.002106
4478.906250	-92.350540
4565.039062	-92.978432
4651.171875	-93.915726
4737.304688	-94.997292
4823.437500	-96.047745
4909.570312	-97.386681
4995.703125	-98.783127
5081.835938	-99.775337
5167.968750	-99.673828
5254.101562	-99.508057
5340.234375	-99.338005
5426.367188	-99.225082
