Frequency (Hz)	Level (dB)
86.132812	-29.496136
172.265625	-34.828701
258.398438	-43.472137
344.531250	-55.983109
430.664062	-63.106331
516.796875	-67.110512
602.929688	-70.696716
689.062500	-70.299957
775.195312	-70.810532
861.328125	-73.641670
947.460938	-75.933441
1033.593750	-75.663567
1119.726562	-77.157867
1205.859375	-79.829018
1291.992188	-80.006821
1378.125000	-79.582672
1464.257812	-82.731514
1550.390625	-84.211418
1636.523438	-83.256035
1722.656250	-83.761711
1808.789062	-85.847374
1894.921875	-87.973007
1981.054688	-87.894722
2067.187500	-87.266396
2153.320312	-87.784637
2239.453125	-89.658058
2325.585938	-91.453171
2411.718750	-89.353973
2497.851562	-88.289040
2583.984375	-89.769547
2670.117188	-93.314629
2756.250000	-91.803963
2842.382812	-90.107910
2928.515625	-91.112091
3014.648438	-93.785118
3100.781250	-93.923172
3186.914062	-92.478760
3273.046875	-92.871536
3359.179688	-94.801201
3445.312500	-95.362808
3531.445312	-95.480804
3617.578125	-95.357704
3703.710938	-95.453804
3789.843750	-95.938301
3875.976562	-96.669212
3962.109375	-96.890259
4048.242188	-96.558418
4134.375000	-96.774521
4220.507812	-97.380348
4306.640625	-97.842323
4392.773438	-98.239746
4478.906250	-98.476860
4565.039062	-98.276764
4651.171875	-98.409149
4737.304688	-99.575233
4823.437500	-100.122513
4909.570312	-99.678299
4995.703125	-99.810448
5081.835938	-100.631660
5167.968750	-101.526085
5254.101562	-101.241936
5340.234375	-101.194725
5426.367188	-101.620995
