Frequency (Hz)	Level (dB)
86.132813	-40.368244
172.265625	-40.333279
258.398438	-37.610100
344.531250	-35.206425
430.664063	-35.195023
516.796875	-34.870701
602.929688	-35.809830
689.062500	-37.222931
775.195313	-38.417923
861.328125	-39.729210
947.460938	-40.816776
1033.593750	-42.257481
1119.726563	-43.188717
1205.859375	-43.872032
1291.992188	-45.194916
1378.125000	-45.795498
1464.257813	-46.486557
1550.390625	-47.526760
1636.523438	-49.353832
1722.656250	-50.188953
1808.789063	-51.964287
1894.921875	-52.010975
1981.054688	-53.491688
2067.187500	-54.502457
2153.320313	-54.634037
2239.453125	-56.192802
2325.585938	-56.682934
2411.718750	-57.903225
2497.851563	-58.446075
2583.984375	-58.434288
2670.117188	-59.102394
2756.250000	-58.772968
2842.382813	-59.486359
2928.515625	-60.368084
3014.648438	-60.888760
3100.781250	-61.674259
3186.914063	-62.431641
3273.046875	-63.285149
3359.179688	-63.880260
3445.312500	-64.418480
3531.445313	-65.078972
3617.578125	-65.359573
3703.710938	-65.519936
3789.843750	-66.093330
3875.976563	-65.890099
3962.109375	-66.363182
4048.242188	-66.784279
4134.375000	-67.006538
4220.507813	-67.740288
4306.640625	-68.591606
4392.773438	-68.934547
4478.906250	-70.541542
4565.039063	-70.715828
4651.171875	-72.759109
4737.304688	-73.870384
4823.437500	-74.582085
4909.570313	-77.363640
4995.703125	-78.504532
5081.835938	-80.481094
5167.968750	-82.599701
5254.101563	-84.891289
5340.234375	-87.348877
5426.367188	-89.554543
