Frequency (Hz)	Level (dB)
86.132813	-35.511452
172.265625	-35.195332
258.398438	-37.272915
344.531250	-40.319763
430.664063	-43.548264
516.796875	-47.276215
602.929688	-49.120800
689.062500	-51.483124
775.195313	-53.893639
861.328125	-55.567257
947.460938	-56.266533
1033.593750	-57.038948
1119.726563	-58.306358
1205.859375	-59.424709
1291.992188	-60.710484
1378.125000	-61.790394
1464.257813	-62.938503
1550.390625	-63.621040
1636.523438	-64.564095
1722.656250	-66.228981
1808.789063	-67.379219
1894.921875	-68.118484
1981.054688	-69.029724
2067.187500	-69.747955
2153.320313	-71.754189
2239.453125	-72.262749
2325.585938	-72.429863
2411.718750	-73.554611
2497.851563	-74.255402
2583.984375	-74.278023
2670.117188	-75.545654
2756.250000	-76.812012
2842.382813	-76.399017
2928.515625	-77.637573
3014.648438	-77.932716
3100.781250	-78.977623
3186.914063	-79.646782
3273.046875	-80.086212
3359.179688	-80.481201
3445.312500	-81.373932
3531.445313	-81.474503
3617.578125	-81.597885
3703.710938	-82.802277
3789.843750	-83.346970
3875.976563	-83.930573
3962.109375	-84.595947
4048.242188	-84.900307
4134.375000	-85.261345
4220.507813	-85.719162
4306.640625	-86.428322
4392.773438	-87.463036
4478.906250	-88.122429
4565.039063	-88.551544
4651.171875	-89.837959
4737.304688	-91.379860
4823.437500	-92.708527
4909.570313	-94.146446
4995.703125	-95.669357
5081.835938	-97.484245
5167.968750	-99.440331
5254.101563	-101.453789
5340.234375	-103.366158
5426.367188	-104.936134
