Frequency (Hz)	Level (dB)
86.132813	-34.591934
172.265625	-34.423203
258.398438	-36.356445
344.531250	-38.397194
430.664063	-39.598145
516.796875	-42.343521
602.929688	-44.817032
689.062500	-46.424610
775.195313	-48.599144
861.328125	-51.923698
947.460938	-52.647614
1033.593750	-53.483486
1119.726563	-55.596603
1205.859375	-56.822861
1291.992188	-57.530609
1378.125000	-59.352440
1464.257813	-59.120331
1550.390625	-59.916019
1636.523438	-62.546169
1722.656250	-62.312325
1808.789063	-62.521034
1894.921875	-65.330116
1981.054688	-65.900238
2067.187500	-65.567070
2153.320313	-68.047226
2239.453125	-69.978027
2325.585938	-70.302887
2411.718750	-70.953941
2497.851563	-71.195671
2583.984375	-71.400024
2670.117188	-72.605263
2756.250000	-73.760460
2842.382813	-71.592491
2928.515625	-71.350067
3014.648438	-74.826981
3100.781250	-75.614586
3186.914063	-74.889633
3273.046875	-77.820122
3359.179688	-79.208893
3445.312500	-79.046295
3531.445313	-81.680206
3617.578125	-81.931702
3703.710938	-83.434967
3789.843750	-85.224884
3875.976563	-83.682114
3962.109375	-84.271889
4048.242188	-85.414169
4134.375000	-85.236137
4220.507813	-83.695633
4306.640625	-83.260170
4392.773438	-86.794876
4478.906250	-88.049217
4565.039063	-87.372559
4651.171875	-88.776070
4737.304688	-91.419830
4823.437500	-93.625343
4909.570313	-96.133492
4995.703125	-97.863411
5081.835938	-98.847321
5167.968750	-102.960693
5254.101563	-105.166382
5340.234375	-106.032524
5426.367188	-108.632607
