Frequency (Hz)	Level (dB)
86.132813	-17.188692
172.265625	-23.384094
258.398438	-29.260189
344.531250	-34.246765
430.664063	-37.865765
516.796875	-39.291607
602.929688	-39.645550
689.062500	-40.463158
775.195313	-43.861553
861.328125	-47.925526
947.460938	-49.978802
1033.593750	-49.702549
1119.726563	-51.468693
1205.859375	-52.359581
1291.992188	-53.436768
1378.125000	-55.691784
1464.257813	-57.120152
1550.390625	-58.402000
1636.523438	-57.786304
1722.656250	-60.091694
1808.789063	-61.911499
1894.921875	-62.065567
1981.054688	-63.767738
2067.187500	-64.695755
2153.320313	-64.119240
2239.453125	-66.201454
2325.585938	-66.304977
2411.718750	-67.362679
2497.851563	-66.838440
2583.984375	-68.405403
2670.117188	-68.724808
2756.250000	-69.666878
2842.382813	-72.748260
2928.515625	-71.417076
3014.648438	-72.721115
3100.781250	-73.753265
3186.914063	-73.111031
3273.046875	-75.139084
3359.179688	-74.126404
3445.312500	-73.400398
3531.445313	-75.904900
3617.578125	-75.637238
3703.710938	-79.369858
3789.843750	-79.205635
3875.976563	-77.541008
3962.109375	-79.912285
4048.242188	-78.403175
4134.375000	-80.715454
4220.507813	-82.000336
4306.640625	-80.628510
4392.773438	-82.424286
4478.906250	-82.194328
4565.039063	-81.527046
4651.171875	-81.659805
4737.304688	-81.145409
4823.437500	-80.805046
4909.570313	-82.325264
4995.703125	-81.449219
5081.835938	-81.761086
5167.968750	-82.311806
5254.101563	-81.930283
5340.234375	-82.517654
5426.367188	-83.552101
