Frequency (Hz)	Level (dB)
86.132813	-24.596363
172.265625	-32.381924
258.398438	-45.261349
344.531250	-58.575851
430.664063	-66.320656
516.796875	-70.724998
602.929688	-75.138329
689.062500	-78.952362
775.195313	-81.137939
861.328125	-82.723381
947.460938	-85.836723
1033.593750	-87.252724
1119.726563	-87.432106
1205.859375	-88.272301
1291.992188	-90.228317
1378.125000	-91.454605
1464.257813	-91.525032
1550.390625	-91.777206
1636.523438	-94.042725
1722.656250	-95.660820
1808.789063	-95.302979
1894.921875	-94.823524
1981.054688	-95.406502
2067.187500	-96.671555
2153.320313	-97.159065
2239.453125	-97.458878
2325.585938	-97.465363
2411.718750	-97.676933
2497.851563	-98.469437
2583.984375	-98.951134
2670.117188	-98.706818
2756.250000	-98.395279
2842.382813	-98.716812
2928.515625	-99.535339
3014.648438	-99.361450
3100.781250	-98.914162
3186.914063	-99.139030
3273.046875	-99.892952
3359.179688	-100.146515
3445.312500	-99.625847
3531.445313	-100.037666
3617.578125	-100.622459
3703.710938	-100.360550
3789.843750	-100.056702
3875.976563	-100.317398
3962.109375	-100.750389
4048.242188	-100.785034
4134.375000	-100.966721
4220.507813	-100.925011
4306.640625	-100.897163
4392.773438	-101.362427
4478.906250	-101.817490
4565.039063	-101.485802
4651.171875	-101.312263
4737.304688	-101.852707
4823.437500	-102.280403
4909.570313	-102.451797
4995.703125	-102.658813
5081.835938	-103.095261
5167.968750	-103.384224
5254.101563	-103.719734
5340.234375	-103.815582
5426.367188	-103.983551
