Frequency (Hz)	Level (dB)
86.132813	-28.519014
172.265625	-32.057251
258.398438	-32.634804
344.531250	-35.057091
430.664063	-38.027390
516.796875	-39.691589
602.929688	-41.322514
689.062500	-43.137672
775.195313	-43.689281
861.328125	-45.155312
947.460938	-45.736279
1033.593750	-46.170113
1119.726563	-48.404678
1205.859375	-47.505398
1291.992188	-49.907169
1378.125000	-49.860050
1464.257813	-50.983093
1550.390625	-52.527382
1636.523438	-52.485310
1722.656250	-54.180244
1808.789063	-54.886795
1894.921875	-55.649422
1981.054688	-57.021973
2067.187500	-57.586163
2153.320313	-58.686554
2239.453125	-59.933968
2325.585938	-60.373337
2411.718750	-61.624863
2497.851563	-61.988365
2583.984375	-63.124680
2670.117188	-63.488499
2756.250000	-64.578079
2842.382813	-64.587929
2928.515625	-65.711494
3014.648438	-66.141525
3100.781250	-66.576843
3186.914063	-67.321877
3273.046875	-67.356346
3359.179688	-67.630005
3445.312500	-67.948128
3531.445313	-68.033798
3617.578125	-68.077873
3703.710938	-68.673264
3789.843750	-68.579193
3875.976563	-68.783623
3962.109375	-69.356354
4048.242188	-69.043320
4134.375000	-69.940773
4220.507813	-70.334641
4306.640625	-70.455177
4392.773438	-71.903557
4478.906250	-71.746750
4565.039063	-73.386414
4651.171875	-73.967720
4737.304688	-75.092957
4823.437500	-76.710831
4909.570313	-77.853645
4995.703125	-79.727493
5081.835938	-81.265556
5167.968750	-83.547180
5254.101563	-85.321129
5340.234375	-88.064125
5426.367188	-90.186531
