Frequency (Hz)	Level (dB)
86.132813	-18.377916
172.265625	-18.779055
258.398438	-22.607346
344.531250	-29.570856
430.664063	-34.152714
516.796875	-36.865509
602.929688	-39.769417
689.062500	-42.273331
775.195313	-42.906136
861.328125	-43.575413
947.460938	-46.146355
1033.593750	-47.737816
1119.726563	-47.413445
1205.859375	-47.935513
1291.992188	-49.916977
1378.125000	-51.683254
1464.257813	-51.054760
1550.390625	-51.147358
1636.523438	-53.249538
1722.656250	-54.583920
1808.789063	-54.285393
1894.921875	-55.070042
1981.054688	-56.431389
2067.187500	-57.619236
2153.320313	-58.131783
2239.453125	-58.149319
2325.585938	-59.034828
2411.718750	-60.773354
2497.851563	-61.104404
2583.984375	-61.069252
2670.117188	-62.307243
2756.250000	-63.911541
2842.382813	-63.903324
2928.515625	-63.912754
3014.648438	-64.741676
3100.781250	-65.729843
3186.914063	-66.056374
3273.046875	-65.661720
3359.179688	-66.287231
3445.312500	-67.721909
3531.445313	-67.190422
3617.578125	-66.719826
3703.710938	-67.845520
3789.843750	-68.246033
3875.976563	-67.937660
3962.109375	-68.096107
4048.242188	-68.264618
4134.375000	-69.075729
4220.507813	-69.385170
4306.640625	-69.099953
4392.773438	-69.756104
4478.906250	-70.746834
4565.039063	-71.232391
4651.171875	-71.637962
4737.304688	-72.470184
4823.437500	-73.825218
4909.570313	-75.031075
4995.703125	-75.980484
5081.835938	-77.274704
5167.968750	-78.991280
5254.101563	-80.543396
5340.234375	-81.682716
5426.367188	-82.524170
