Frequency (Hz)	Level (dB)
86.132813	-23.731659
172.265625	-27.022709
258.398438	-34.175549
344.531250	-45.622917
430.664063	-57.425671
516.796875	-65.622200
602.929688	-70.179451
689.062500	-76.030876
775.195313	-79.893196
861.328125	-84.594955
947.460938	-86.391510
1033.593750	-88.163086
1119.726563	-91.356262
1205.859375	-92.761696
1291.992188	-94.146523
1378.125000	-95.927658
1464.257813	-98.456856
1550.390625	-99.646194
1636.523438	-100.509109
1722.656250	-100.758652
1808.789063	-100.670891
1894.921875	-100.655083
1981.054688	-101.011429
2067.187500	-101.243881
2153.320313	-101.479660
2239.453125	-101.668022
2325.585938	-101.773148
2411.718750	-101.762115
2497.851563	-101.977493
2583.984375	-102.034912
2670.117188	-102.112366
2756.250000	-102.030174
2842.382813	-101.960838
2928.515625	-101.970604
3014.648438	-102.096138
3100.781250	-102.161438
3186.914063	-101.175140
3273.046875	-101.316040
3359.179688	-102.249794
3445.312500	-102.258896
3531.445313	-102.275948
3617.578125	-102.029831
3703.710938	-102.143425
3789.843750	-102.225609
3875.976563	-102.461334
3962.109375	-102.323235
4048.242188	-102.490364
4134.375000	-102.602318
4220.507813	-102.425575
4306.640625	-102.621216
4392.773438	-102.854744
4478.906250	-102.815155
4565.039063	-102.664841
4651.171875	-103.055634
4737.304688	-103.336037
4823.437500	-103.781837
4909.570313	-103.899254
4995.703125	-104.099472
5081.835938	-104.524223
5167.968750	-104.736145
5254.101563	-104.771431
5340.234375	-104.648239
5426.367188	-104.768517
