Frequency (Hz)	Level (dB)
86.132813	-34.414757
172.265625	-31.772499
258.398438	-34.734535
344.531250	-40.360180
430.664063	-42.580284
516.796875	-46.245232
602.929688	-49.338715
689.062500	-50.478451
775.195313	-51.444252
861.328125	-53.708176
947.460938	-56.234669
1033.593750	-57.100674
1119.726563	-57.157326
1205.859375	-57.356571
1291.992188	-57.930737
1378.125000	-59.124176
1464.257813	-60.150211
1550.390625	-60.318066
1636.523438	-60.470654
1722.656250	-61.666023
1808.789063	-62.714935
1894.921875	-62.843830
1981.054688	-63.406586
2067.187500	-63.908241
2153.320313	-64.780373
2239.453125	-64.980690
2325.585938	-65.053871
2411.718750	-65.620186
2497.851563	-66.369240
2583.984375	-66.275658
2670.117188	-66.242714
2756.250000	-67.088768
2842.382813	-67.450821
2928.515625	-67.567848
3014.648438	-67.831505
3100.781250	-68.145393
3186.914063	-68.553764
3273.046875	-68.946426
3359.179688	-68.747223
3445.312500	-68.661774
3531.445313	-69.432495
3617.578125	-69.875359
3703.710938	-69.522095
3789.843750	-69.632401
3875.976563	-70.495567
3962.109375	-71.216133
4048.242188	-71.406738
4134.375000	-71.563538
4220.507813	-72.124153
4306.640625	-73.045822
4392.773438	-73.796440
4478.906250	-74.068184
4565.039063	-74.820992
4651.171875	-76.263542
4737.304688	-77.440430
4823.437500	-78.250664
4909.570313	-79.498505
4995.703125	-81.230553
5081.835938	-83.008507
5167.968750	-84.786148
5254.101563	-86.571968
5340.234375	-88.586617
5426.367188	-90.923882
