Frequency (Hz)	Level (dB)
86.132813	-25.886669
172.265625	-27.522291
258.398438	-39.086323
344.531250	-52.814140
430.664063	-63.593739
516.796875	-71.185951
602.929688	-77.177734
689.062500	-80.107742
775.195313	-81.756660
861.328125	-84.151360
947.460938	-86.187599
1033.593750	-86.335243
1119.726563	-87.374947
1205.859375	-88.744118
1291.992188	-89.419907
1378.125000	-90.301620
1464.257813	-91.897545
1550.390625	-92.597404
1636.523438	-93.411354
1722.656250	-94.500351
1808.789063	-95.374649
1894.921875	-95.947289
1981.054688	-97.151939
2067.187500	-97.832207
2153.320313	-97.233932
2239.453125	-97.654472
2325.585938	-98.505585
2411.718750	-98.355659
2497.851563	-97.987602
2583.984375	-98.300499
2670.117188	-98.565178
2756.250000	-98.902985
2842.382813	-98.836967
2928.515625	-98.932152
3014.648438	-98.868462
3100.781250	-99.173874
3186.914063	-99.293121
3273.046875	-99.400337
3359.179688	-99.677490
3445.312500	-99.797501
3531.445313	-100.287453
3617.578125	-100.283257
3703.710938	-100.279060
3789.843750	-100.340424
3875.976563	-100.518875
3962.109375	-100.589058
4048.242188	-100.435768
4134.375000	-100.373116
4220.507813	-100.793495
4306.640625	-100.985519
4392.773438	-101.187637
4478.906250	-101.384682
4565.039063	-101.241760
4651.171875	-101.616364
4737.304688	-101.941238
4823.437500	-102.390396
4909.570313	-102.268578
4995.703125	-102.464645
5081.835938	-103.035828
5167.968750	-103.279106
5254.101563	-103.491158
5340.234375	-103.634041
5426.367188	-103.726845
