Frequency (Hz)	Level (dB)
86.132813	-35.702469
172.265625	-34.815357
258.398438	-44.098541
344.531250	-60.079845
430.664063	-68.094688
516.796875	-71.635216
602.929688	-76.108116
689.062500	-76.854500
775.195313	-77.000343
861.328125	-78.090309
947.460938	-82.103485
1033.593750	-82.949913
1119.726563	-82.992783
1205.859375	-84.533539
1291.992188	-85.473541
1378.125000	-85.371849
1464.257813	-87.250999
1550.390625	-88.975731
1636.523438	-90.253365
1722.656250	-89.547287
1808.789063	-89.709076
1894.921875	-91.043083
1981.054688	-92.658936
2067.187500	-93.747620
2153.320313	-93.232880
2239.453125	-91.797615
2325.585938	-93.149689
2411.718750	-95.505585
2497.851563	-95.808945
2583.984375	-94.349991
2670.117188	-93.932022
2756.250000	-95.694954
2842.382813	-97.532509
2928.515625	-96.607773
3014.648438	-96.214363
3100.781250	-96.588058
3186.914063	-97.152405
3273.046875	-97.741875
3359.179688	-98.034973
3445.312500	-97.890320
3531.445313	-97.885971
3617.578125	-97.866447
3703.710938	-98.336906
3789.843750	-98.592773
3875.976563	-98.600372
3962.109375	-98.891174
4048.242188	-99.023575
4134.375000	-99.557465
4220.507813	-99.363632
4306.640625	-99.594528
4392.773438	-99.707977
4478.906250	-99.417480
4565.039063	-99.935715
4651.171875	-100.700943
4737.304688	-100.535881
4823.437500	-100.546455
4909.570313	-100.714561
4995.703125	-101.549698
5081.835938	-101.933716
5167.968750	-102.219124
5254.101563	-102.387115
5340.234375	-102.392738
5426.367188	-102.508575
