Frequency (Hz)	Level (dB)
86.132813	-32.952599
172.265625	-37.248333
258.398438	-45.477158
344.531250	-55.837761
430.664063	-64.822731
516.796875	-70.122490
602.929688	-73.250679
689.062500	-77.361038
775.195313	-81.461998
861.328125	-84.590836
947.460938	-86.506195
1033.593750	-87.833466
1119.726563	-89.122986
1205.859375	-90.381660
1291.992188	-91.885651
1378.125000	-93.813049
1464.257813	-95.585060
1550.390625	-96.146027
1636.523438	-96.960335
1722.656250	-97.735100
1808.789063	-98.127419
1894.921875	-98.339783
1981.054688	-98.449074
2067.187500	-98.666771
2153.320313	-98.951462
2239.453125	-99.287132
2325.585938	-99.249855
2411.718750	-99.327957
2497.851563	-99.630844
2583.984375	-99.767509
2670.117188	-100.020622
2756.250000	-99.736420
2842.382813	-99.693558
2928.515625	-100.140724
3014.648438	-100.158920
3100.781250	-100.237778
3186.914063	-100.191925
3273.046875	-100.097519
3359.179688	-100.232063
3445.312500	-100.571747
3531.445313	-100.805710
3617.578125	-100.715416
3703.710938	-100.705276
3789.843750	-100.796120
3875.976563	-100.759338
3962.109375	-100.681183
4048.242188	-100.958389
4134.375000	-101.132248
4220.507813	-101.122681
4306.640625	-101.331093
4392.773438	-101.547539
4478.906250	-101.675644
4565.039063	-101.780266
4651.171875	-102.006821
4737.304688	-102.171585
4823.437500	-102.561462
4909.570313	-102.754814
4995.703125	-103.006569
5081.835938	-103.184502
5167.968750	-103.445755
5254.101563	-103.454300
5340.234375	-103.815315
5426.367188	-104.227753
