Frequency (Hz)	Level (dB)
86.132812	-25.568567
172.265625	-35.589882
258.398438	-48.735184
344.531250	-60.498611
430.664062	-64.951767
516.796875	-68.027870
602.929688	-72.327843
689.062500	-73.265739
775.195312	-73.391495
861.328125	-74.697136
947.460938	-79.761147
1033.593750	-80.029709
1119.726562	-79.947586
1205.859375	-81.471054
1291.992188	-82.960785
1378.125000	-83.959053
1464.257812	-86.565628
1550.390625	-85.721909
1636.523438	-86.004761
1722.656250	-86.829674
1808.789062	-89.518913
1894.921875	-91.200058
1981.054688	-89.282471
2067.187500	-89.001511
2153.320312	-91.940178
2239.453125	-92.707504
2325.585938	-91.592949
2411.718750	-90.961800
2497.851562	-91.589066
2583.984375	-93.026230
2670.117188	-94.241280
2756.250000	-94.699097
2842.382812	-93.107002
2928.515625	-93.053879
3014.648438	-95.137993
3100.781250	-97.154358
3186.914062	-96.173569
3273.046875	-95.253159
3359.179688	-96.056709
3445.312500	-97.888336
3531.445312	-98.055458
3617.578125	-96.828934
3703.710938	-96.188034
3789.843750	-96.695747
3875.976562	-98.059631
3962.109375	-98.309067
4048.242188	-97.113625
4134.375000	-97.535393
4220.507812	-98.950966
4306.640625	-99.042229
4392.773438	-98.676674
4478.906250	-99.380096
4565.039062	-100.367195
4651.171875	-99.775711
4737.304688	-100.056824
4823.437500	-100.697861
4909.570312	-100.762779
4995.703125	-100.853523
5081.835938	-101.337944
5167.968750	-101.798386
5254.101562	-102.055229
5340.234375	-102.515007
5426.367188	-102.686676
