Frequency (Hz)	Level (dB)
86.132812	-18.627968
172.265625	-28.839828
258.398438	-40.459400
344.531250	-48.619537
430.664062	-54.460247
516.796875	-58.953342
602.929688	-62.545616
689.062500	-66.000458
775.195312	-68.786629
861.328125	-70.931366
947.460938	-72.781906
1033.593750	-74.586349
1119.726562	-76.026825
1205.859375	-77.102272
1291.992188	-78.654594
1378.125000	-80.114403
1464.257812	-80.223366
1550.390625	-81.716187
1636.523438	-82.925919
1722.656250	-83.555115
1808.789062	-84.538216
1894.921875	-85.673103
1981.054688	-86.213211
2067.187500	-86.216583
2153.320312	-87.099236
2239.453125	-88.685493
2325.585938	-88.465340
2411.718750	-88.945763
2497.851562	-89.732567
2583.984375	-90.762573
2670.117188	-90.396309
2756.250000	-91.763100
2842.382812	-92.242401
2928.515625	-90.485573
3014.648438	-90.517204
3100.781250	-91.257248
3186.914062	-92.592369
3273.046875	-93.447731
3359.179688	-93.970184
3445.312500	-94.554268
3531.445312	-94.331123
3617.578125	-94.908928
3703.710938	-95.934616
3789.843750	-95.109924
3875.976562	-96.485489
3962.109375	-96.510376
4048.242188	-96.132538
4134.375000	-97.087631
4220.507812	-96.946243
4306.640625	-97.541885
4392.773438	-97.716537
4478.906250	-98.324387
4565.039062	-98.265450
4651.171875	-98.025826
4737.304688	-99.360962
4823.437500	-98.951324
4909.570312	-98.908569
4995.703125	-100.059143
5081.835938	-100.052200
5167.968750	-100.518478
5254.101562	-100.856018
5340.234375	-100.839714
5426.367188	-101.448265
