Frequency (Hz)	Level (dB)
86.132812	-29.885046
172.265625	-35.669743
258.398438	-43.691753
344.531250	-56.379902
430.664062	-65.786743
516.796875	-70.202980
602.929688	-74.119598
689.062500	-77.342659
775.195312	-79.110847
861.328125	-81.661491
947.460938	-85.254616
1033.593750	-84.910309
1119.726562	-85.478981
1205.859375	-85.758530
1291.992188	-86.783463
1378.125000	-87.980148
1464.257812	-90.535194
1550.390625	-93.207802
1636.523438	-92.807198
1722.656250	-92.361427
1808.789062	-94.093750
1894.921875	-96.090370
1981.054688	-95.820816
2067.187500	-95.551842
2153.320312	-95.791718
2239.453125	-96.211617
2325.585938	-97.908379
2411.718750	-97.724258
2497.851562	-96.455200
2583.984375	-96.434731
2670.117188	-97.768738
2756.250000	-99.078621
2842.382812	-97.776657
2928.515625	-97.356110
3014.648438	-98.579521
3100.781250	-99.601807
3186.914062	-98.970039
3273.046875	-98.627373
3359.179688	-99.302628
3445.312500	-99.760132
3531.445312	-99.569397
3617.578125	-99.463470
3703.710938	-99.513794
3789.843750	-99.654556
3875.976562	-99.960114
3962.109375	-100.306793
4048.242188	-100.274368
4134.375000	-100.240967
4220.507812	-100.453239
4306.640625	-100.469444
4392.773438	-100.715950
4478.906250	-101.072052
4565.039062	-101.230331
4651.171875	-101.298378
4737.304688	-101.646774
4823.437500	-102.100723
4909.570312	-102.318024
4995.703125	-102.510803
5081.835938	-102.787872
5167.968750	-103.236763
5254.101562	-103.365440
5340.234375	-103.552887
5426.367188	-103.702530
