Frequency (Hz)	Level (dB)
86.132812	-23.175655
172.265625	-34.695984
258.398438	-46.482819
344.531250	-51.454166
430.664062	-55.879669
516.796875	-61.699375
602.929688	-67.853806
689.062500	-70.172577
775.195312	-73.432564
861.328125	-75.047066
947.460938	-79.275963
1033.593750	-79.885109
1119.726562	-80.393097
1205.859375	-81.909927
1291.992188	-84.458572
1378.125000	-84.498283
1464.257812	-86.390800
1550.390625	-86.548416
1636.523438	-90.512871
1722.656250	-89.320549
1808.789062	-90.383110
1894.921875	-89.532204
1981.054688	-93.630836
2067.187500	-92.471260
2153.320312	-93.365036
2239.453125	-92.568291
2325.585938	-94.620705
2411.718750	-95.963112
2497.851562	-95.888817
2583.984375	-94.882721
2670.117188	-96.112694
2756.250000	-96.294777
2842.382812	-98.209366
2928.515625	-96.408066
3014.648438	-97.931694
3100.781250	-97.410179
3186.914062	-98.666237
3273.046875	-97.461891
3359.179688	-98.597443
3445.312500	-98.590042
3531.445312	-99.588364
3617.578125	-98.871536
3703.710938	-99.129272
3789.843750	-99.550110
3875.976562	-100.255943
3962.109375	-99.852646
4048.242188	-99.978523
4134.375000	-99.829941
4220.507812	-101.123795
4306.640625	-100.549500
4392.773438	-100.795654
4478.906250	-100.380676
4565.039062	-101.382011
4651.171875	-101.459366
4737.304688	-101.492271
4823.437500	-101.514168
4909.570312	-102.002930
4995.703125	-102.718262
5081.835938	-102.882820
5167.968750	-103.119377
5254.101562	-103.435471
5340.234375	-103.589523
5426.367188	-103.845825
