Frequency (Hz)	Level (dB)
86.132812	-26.068295
172.265625	-28.882240
258.398438	-32.358192
344.531250	-34.958351
430.664062	-37.993896
516.796875	-38.220451
602.929688	-36.038918
689.062500	-38.163525
775.195312	-43.907261
861.328125	-50.393944
947.460938	-52.927982
1033.593750	-55.008575
1119.726562	-59.381496
1205.859375	-63.755665
1291.992188	-66.219719
1378.125000	-67.994781
1464.257812	-69.183266
1550.390625	-69.270531
1636.523438	-67.953972
1722.656250	-72.543304
1808.789062	-73.523163
1894.921875	-74.590828
1981.054688	-79.391739
2067.187500	-80.716255
2153.320312	-78.570786
2239.453125	-77.608742
2325.585938	-77.829819
2411.718750	-78.853050
2497.851562	-82.315453
2583.984375	-82.127831
2670.117188	-79.035545
2756.250000	-78.870926
2842.382812	-81.844826
2928.515625	-84.331169
3014.648438	-90.787560
3100.781250	-89.680702
3186.914062	-89.205910
3273.046875	-90.477905
3359.179688	-91.384438
3445.312500	-89.698486
3531.445312	-89.597237
3617.578125	-90.808640
3703.710938	-92.100121
3789.843750	-94.605804
3875.976562	-96.715759
3962.109375	-98.178101
4048.242188	-99.918983
4134.375000	-100.276176
4220.507812	-99.658798
4306.640625	-99.672516
4392.773438	-98.679848
4478.906250	-98.565697
4565.039062	-98.872139
4651.171875	-100.259911
4737.304688	-100.782425
4823.437500	-100.652832
4909.570312	-100.340210
4995.703125	-99.024696
5081.835938	-100.094299
5167.968750	-101.569328
5254.101562	-101.860313
5340.234375	-101.848999
5426.367188	-101.350899
