Frequency (Hz)	Level (dB)
86.132812	-11.985505
172.265625	-19.282412
258.398438	-26.960087
344.531250	-34.290401
430.664062	-37.339863
516.796875	-39.850819
602.929688	-42.822880
689.062500	-45.481834
775.195312	-47.542397
861.328125	-49.185230
947.460938	-51.243778
1033.593750	-53.620632
1119.726562	-55.905495
1205.859375	-57.553837
1291.992188	-58.764297
1378.125000	-60.552055
1464.257812	-61.871494
1550.390625	-63.231487
1636.523438	-64.076424
1722.656250	-64.193794
1808.789062	-64.528854
1894.921875	-65.142891
1981.054688	-65.820152
2067.187500	-66.489822
2153.320312	-67.299988
2239.453125	-67.306183
2325.585938	-67.822090
2411.718750	-68.578705
2497.851562	-69.080376
2583.984375	-69.987068
2670.117188	-70.888588
2756.250000	-71.367195
2842.382812	-71.529617
2928.515625	-73.187584
3014.648438	-74.611160
3100.781250	-73.916412
3186.914062	-73.326134
3273.046875	-73.826706
3359.179688	-75.525352
3445.312500	-75.645729
3531.445312	-75.137100
3617.578125	-75.836983
3703.710938	-77.099579
3789.843750	-76.900597
3875.976562	-76.555931
3962.109375	-77.280556
4048.242188	-78.221268
4134.375000	-78.536644
4220.507812	-78.573265
4306.640625	-78.838051
4392.773438	-79.480690
4478.906250	-80.156944
4565.039062	-79.851959
4651.171875	-79.469711
4737.304688	-80.944527
4823.437500	-82.590561
4909.570312	-82.437469
4995.703125	-81.843788
5081.835938	-82.113808
5167.968750	-82.653099
5254.101562	-82.793083
5340.234375	-82.980469
5426.367188	-82.442154
